age,ball_control,dribbling,slide_tackle,stand_tackle,aggression,reactions,interceptions,vision,composure,crossing,short_pass,long_pass,acceleration,sprint_speed,stamina,strength,balance,shot_power,finishing,long_shots,curve,penalties
40.70918,94.0,95.0,7.012257,7.911649,96.00001,93.0,3.0012457,93.99997,96.0,94.00001,92.98718,9.0,96.666336,67.25374,14.259705,95.918175,95.0,94.0,94.0,90.999435,93.0,92.0
24.866146,61.57543,64.130135,62.052326,62.899784,54.62666,64.18749,58.593163,56.152283,64.04511,62.94345,62.61592,44.493793,63.32063,49.681076,53.009315,33.67149,72.3599,42.52117,58.088757,49.13411,67.94829,78.602325
17.00885,93.99948,95.0,7.0,7.0,96.00001,93.0,3.0000002,94.0,96.0,6.0556884,92.999176,9.000157,12.000001,13.0,94.99985,96.0,20.000002,94.0,94.0,90.999985,92.999985,92.0
38.345947,39.875504,37.970005,60.69152,51.966385,88.309555,57.377773,64.86813,53.669678,64.828156,33.426563,45.214474,51.968613,15.925421,16.542933,55.091354,64.0697,25.24634,64.577156,25.678946,51.378216,38.834488,43.66873
41.0,93.999275,94.99989,87.0,91.0,96.00001,93.0,89.0,11.832502,96.0,93.99989,91.39118,9.0,97.0,97.0,14.0,96.0,95.0,93.99998,93.99632,5.0,93.0,92.0
25.702703,36.59859,32.173286,26.295015,21.981201,47.59251,49.90057,21.137524,44.27601,44.78433,43.980064,27.483957,24.2932,34.69262,29.626772,23.341015,27.507587,59.152126,44.21902,15.378536,20.078665,43.01332,19.910387
28.993523,60.875023,71.1242,60.339767,57.998302,80.97785,68.418,57.34932,57.602974,63.140816,82.28979,53.127502,34.981934,53.288162,40.481747,84.21224,39.259315,79.654366,61.72987,59.56878,63.531807,86.70584,76.02282
17.0,8.0,5.0,7.0,7.0,11.000001,32.00096,3.0000002,93.99939,13.0,6.0,11.000001,9.0,12.000001,13.0,14.0,25.0,20.004055,20.000418,4.0,5.0,7.0,8.0
33.476177,62.200943,50.778057,53.79737,57.48274,49.396145,61.229397,60.66279,61.38584,65.027435,60.42951,64.34869,45.58962,43.44716,37.83808,63.981606,49.001896,45.812775,54.92864,69.613434,70.36934,72.04154,78.68272
17.0,93.99999,74.66416,87.0,91.0,96.00001,93.0,89.0,93.99137,95.99978,6.0,93.0,92.64175,12.004542,13.000379,95.0,96.0,20.000042,94.0,94.0,90.99999,7.556666,92.0
22.531872,70.31799,69.410164,66.08109,67.15085,60.68773,57.303223,67.01569,77.006325,56.170753,76.20173,72.41691,72.07798,55.212765,38.7951,74.08632,36.200573,71.76175,38.67899,67.80777,64.39998,72.24561,70.002495
37.35589,71.09843,71.6427,76.260956,76.88148,85.15497,87.15119,72.07941,59.413597,85.19997,57.34142,71.31349,55.721195,46.844982,43.198837,71.76054,61.464867,60.776447,54.29065,56.33848,44.80623,64.943016,71.1241
17.00038,94.0,95.0,7.000012,7.00004,96.00001,93.0,3.0000002,94.0,96.0,94.00001,93.0,9.0,97.0,96.8271,14.0,96.0,94.999954,94.0,94.0,90.999275,93.0,92.0
17.0,8.0,5.0,7.0,7.0,11.000001,31.999998,3.0000002,93.99911,13.0,6.0000052,11.572906,10.618845,12.000018,13.0,14.0,25.0,20.000002,20.0,4.0,5.0,7.0000105,8.0
17.141048,8.01709,94.250626,7.0,7.000003,96.00001,93.0,79.599106,10.258716,96.0,6.0,12.174286,9.0,12.437078,50.69201,14.0,25.000013,95.0,20.002337,93.99191,5.0001183,7.0,92.0
17.000023,8.000118,5.0,86.99998,91.0,96.00001,89.66724,89.0,14.882043,95.52518,6.0,92.99861,92.99999,12.000001,13.0,14.0,96.0,20.000002,93.99975,4.000003,5.0037627,7.0,9.419368
39.592834,53.204758,59.681225,57.025448,60.333763,49.482014,73.6223,54.105885,37.73748,80.08989,61.808056,55.033764,26.91846,70.06833,72.097496,54.678524,65.62582,51.5853,76.6317,57.011803,58.34683,78.209915,82.380905
32.65202,57.33862,61.942368,49.495205,50.962585,52.16929,58.194794,51.649044,63.339054,59.455917,72.71712,58.01255,44.941402,56.170902,48.17376,51.975815,44.790977,58.691982,50.61972,59.257442,59.273727,74.88612,67.688126
17.035461,8.0,5.0,7.0,7.0,11.000001,37.45474,3.0000284,93.96519,13.01548,6.000147,11.000003,9.0069065,12.000001,13.0,14.0,25.0,20.00001,66.01882,4.0,5.0,7.000003,8.0
22.548126,63.647137,52.45552,65.927414,68.244415,67.034325,55.782238,67.40731,58.116917,51.572083,54.294613,61.600426,53.475464,60.861973,46.680214,69.43949,43.82051,76.977455,26.171436,56.865765,32.171806,47.880753,79.983284
17.0,8.0,5.0,22.88928,60.965725,11.000001,31.999998,3.0000257,10.0,13.0,6.0,11.000001,9.0000105,96.9992,96.44516,14.0,96.0,20.000002,20.0,4.0,5.0,7.0,39.485218
20.88323,40.110043,56.497498,41.074417,37.482468,62.51882,46.173904,29.633146,25.227808,40.796875,65.741394,34.360725,20.60409,75.751274,72.900894,23.516865,32.607327,83.245415,37.509502,34.36341,26.524328,58.32249,62.327503
17.0,94.0,94.895035,87.0,91.0,96.00001,93.0,89.0,93.75695,96.0,6.0,93.0,9.258495,12.000408,13.0089,95.0,96.0,20.009165,94.0,94.0,90.99996,29.217312,92.0
36.994614,69.22447,53.475014,48.802963,50.98874,52.818996,68.29471,51.26331,46.01932,59.981213,71.5504,55.556824,44.773445,44.320755,56.9093,29.397963,66.22549,31.311838,47.508316,24.380835,30.582481,67.83775,32.249004
34.025677,60.757015,71.471596,53.406452,48.713154,90.189224,78.85804,39.833588,50.297844,76.078804,48.782722,53.449486,30.929245,58.192657,51.97731,56.047234,47.30609,83.40048,59.210705,62.584133,44.29093,62.29982,70.12285
38.77264,76.01175,77.719826,73.695595,76.18063,56.96291,80.4983,70.60729,69.89875,84.694855,78.06022,76.22114,63.549213,68.93764,69.22229,33.892406,61.009537,50.194984,52.28646,55.159412,47.214844,80.00876,74.01932
38.973022,62.09177,57.940327,75.27643,76.47763,61.481155,75.66523,79.511925,63.500984,69.35099,74.60137,65.45365,59.260414,40.28701,32.999302,77.42087,35.37709,52.520546,67.23505,61.921577,74.976166,79.679985,74.48231
40.946518,8.0,5.0,7.0,7.0,11.000001,92.999985,3.0000002,93.999,26.189745,6.0,11.000001,9.0,12.000001,13.0,14.0,25.0,95.0,20.593933,4.0,5.0,7.0,8.085669
41.0,8.0,5.012893,7.119455,13.91871,95.99925,48.689278,85.72003,10.111514,96.0,84.24404,11.019011,10.111675,12.000191,13.0,95.0,25.034391,95.0,94.0,4.000003,90.99725,7.7395663,18.549915
41.0,94.0,95.0,86.99996,90.99992,96.00001,93.0,3.0032475,94.0,96.0,94.00001,93.0,9.001194,12.000026,14.398777,92.45577,96.0,20.000002,94.0,94.0,91.0,93.0,92.0
22.773315,60.659115,46.74646,63.82129,69.81182,37.04039,53.270287,76.31774,41.21211,41.95428,46.23809,64.48511,67.646805,70.05215,68.82151,38.70431,38.534424,50.966293,48.74649,54.39216,63.539352,29.798399,66.481636
25.422829,58.743652,65.979645,47.11227,49.597343,55.110855,62.62155,44.004036,51.973366,55.20568,68.92275,53.00274,34.59933,60.417244,58.038567,43.564693,40.428387,36.883648,58.17978,57.1278,60.09077,70.78073,62.153946
30.787624,52.235806,25.016254,42.066288,56.59261,48.47701,46.316837,48.039883,23.949501,52.167492,55.307568,30.207031,30.412355,35.82426,52.870018,21.701431,72.64617,21.930336,68.32761,23.710052,33.64626,53.17216,36.710304
41.0,93.995155,95.0,87.0,91.0,96.00001,93.0,89.0,94.0,96.0,94.00001,92.972206,9.0,51.501976,13.000058,95.0,95.99989,95.0,94.0,94.0,91.0,93.0,92.0
40.666714,72.92193,45.377995,86.188095,90.0797,94.14157,91.864235,88.42443,61.117046,92.67051,43.81887,80.63717,79.970146,17.064386,21.602041,81.79808,89.84004,27.384003,82.29773,34.725002,56.784115,53.082626,72.11475
41.0,94.0,76.47251,87.0,91.0,96.00001,93.0,89.0,94.0,96.0,93.995865,93.0,11.021791,12.001419,13.00004,95.0,25.000008,21.056475,21.935614,94.0,90.999985,93.0,92.0
20.587654,69.140564,73.7189,37.564068,37.837288,70.86663,68.420334,24.684843,67.67857,69.29785,56.20469,61.71525,41.19276,48.324997,38.492325,48.48368,33.703144,73.87529,51.14568,61.025223,49.422626,74.7055,61.97064
17.006357,93.9999,86.09908,7.0,8.310408,96.00001,93.0,88.99984,93.99996,96.0,12.016695,92.6907,9.0,97.0,96.99994,91.20495,25.0,95.0,20.0,94.0,27.181711,93.0,92.0
17.0,8.000026,5.0,7.000417,7.0,11.00087,31.999998,3.0000002,11.167961,13.0,6.0,11.000531,9.0,96.96796,14.943173,14.0,25.003515,20.061588,20.000002,4.0,5.0,7.0,12.436429
34.235397,43.95057,41.8397,60.45139,57.04924,26.278828,44.916794,62.5054,22.384495,35.904633,80.21718,41.4858,34.000027,68.97211,61.78348,73.05359,45.804226,49.53698,24.447065,20.659428,16.993465,62.84499,49.96302
17.0,8.0,5.0,7.0,7.0,11.000001,31.999998,3.0000002,10.349404,13.0,6.0,11.000001,9.0,12.000001,13.0,14.0,25.0,20.000002,20.0,4.0,5.0,7.0,8.0
36.350796,62.95944,61.782333,65.959076,68.376366,46.522575,65.41211,67.8608,39.25021,64.03884,79.0294,58.184914,44.46983,61.723724,48.26331,60.372288,38.53453,75.24167,35.66704,37.610725,31.994453,77.965775,74.40833
32.145477,58.798607,60.18861,58.312828,61.962097,85.344055,67.02229,67.3312,52.228683,58.781574,60.85611,52.006,40.0532,68.18549,65.57324,71.93282,45.879845,74.06027,35.37584,72.07478,51.64355,50.399456,81.26695
36.821476,62.812607,70.22178,52.099415,58.673637,51.67315,67.470024,57.576324,70.90114,77.207825,77.55576,65.02963,39.968983,54.895306,44.776264,44.951378,42.457893,52.05145,65.54504,71.499176,73.07171,86.75132,84.47305
