Feature,WassersteinDistance
age,4.322546497965983
slide_tackle,6.581625092622638
stand_tackle,7.6668947569559425
finishing,8.081174869840726
interceptions,8.180319379332746
long_shots,8.946250287444522
reactions,10.102156873004784
crossing,10.178012250898842
short_pass,10.502077793386363
vision,10.534369155942535
ball_control,10.598687211549269
curve,12.09608208338302
dribbling,12.168201629798876
shot_power,12.223207894864698
composure,12.499974262454735
aggression,13.686379093920586
balance,14.647536313379874
strength,16.556347100843976
long_pass,18.506230432764323
penalties,18.692646534911848
acceleration,20.03646573690091
stamina,20.742149247500308
sprint_speed,24.85668822416408
